date,mutual_type,type_name,net_buy,buy,sell,total,fund_inflow,quota_balance,accum_buy
2015-02-27,6,006,212.63,490.58,277.95,768.53,-10229.0,10229.0,31145.77
2015-03-02,1,北向_滬股通,745.56,3207.61,2462.05,5669.66,1127.0,11873.0,96385.42
2015-03-02,2,南向_港股通滬,128.31,706.26,577.95,1284.21,-10287.0,10287.0,31274.08
2015-03-02,5,合計,745.56,3207.61,2462.05,5669.66,1127.0,11873.0,96385.42
2015-03-02,6,006,128.31,706.26,577.95,1284.21,-10287.0,10287.0,31274.08
2015-03-03,1,北向_滬股通,93.86,2122.17,2028.31,4150.48,641.0,12359.0,96479.28
2015-03-03,2,南向_港股通滬,206.09,551.43,345.34,896.77,-10241.0,10241.0,31480.17
2015-03-03,5,合計,93.86,2122.17,2028.31,4150.48,641.0,12359.0,96479.28
2015-03-03,6,006,206.09,551.43,345.34,896.77,-10241.0,10241.0,31480.17
2015-03-04,1,北向_滬股通,305.37,2042.31,1736.94,3779.25,622.0,12378.0,96784.65
2015-03-04,2,南向_港股通滬,355.26,657.1,301.84,958.94,-10132.0,10132.0,31835.43
2015-03-04,5,合計,305.37,2042.31,1736.94,3779.25,622.0,12378.0,96784.65
2015-03-04,6,006,355.26,657.1,301.84,958.94,-10132.0,10132.0,31835.43
2015-03-05,1,北向_滬股通,641.9,2509.2,1867.3,4376.5,819.0,12181.0,97426.55
2015-03-05,2,南向_港股通滬,199.99,845.02,645.03,1490.05,-10257.0,10257.0,32035.42
2015-03-05,5,合計,641.9,2509.2,1867.3,4376.5,819.0,12181.0,97426.55
2015-03-05,6,006,199.99,845.02,645.03,1490.05,-10257.0,10257.0,32035.42
2015-03-06,1,北向_滬股通,389.7,1640.76,1251.06,2891.82,465.0,12535.0,97816.25
2015-03-06,2,南向_港股通滬,202.91,597.78,394.87,992.65,-10253.0,10253.0,32238.33
2015-03-06,5,合計,389.7,1640.76,1251.06,2891.82,465.0,12535.0,97816.25
2015-03-06,6,006,202.91,597.78,394.87,992.65,-10253.0,10253.0,32238.33
2015-03-09,1,北向_滬股通,588.71,2205.74,1617.03,3822.77,665.0,12335.0,98404.96
2015-03-09,2,南向_港股通滬,309.91,620.84,310.93,931.77,-10165.0,10165.0,32548.24
2015-03-09,5,合計,588.71,2205.74,1617.03,3822.77,665.0,12335.0,98404.96
2015-03-09,6,006,309.91,620.84,310.93,931.77,-10165.0,10165.0,32548.24
2015-03-10,1,北向_滬股通,52.95,1694.05,1641.1,3335.15,103.0,12897.0,98457.91
2015-03-10,2,南向_港股通滬,224.11,466.43,242.32,708.75,-10237.0,10237.0,32772.35
2015-03-10,5,合計,52.95,1694.05,1641.1,3335.15,103.0,12897.0,98457.91
2015-03-10,6,006,224.11,466.43,242.32,708.75,-10237.0,10237.0,32772.35
2015-03-11,1,北向_滬股通,875.82,2666.29,1790.47,4456.76,960.0,12040.0,99333.73
2015-03-11,2,南向_港股通滬,286.53,434.01,147.48,581.49,-10191.0,10191.0,33058.88
2015-03-11,5,合計,875.82,2666.29,1790.47,4456.76,960.0,12040.0,99333.73
2015-03-11,6,006,286.53,434.01,147.48,581.49,-10191.0,10191.0,33058.88
2015-03-12,1,北向_滬股通,1581.87,3853.51,2271.64,6125.15,1719.0,11281.0,100915.6
2015-03-12,2,南向_港股通滬,168.85,368.45,199.6,568.05,-10294.0,10294.0,33227.73
